year,sector,epi_sector,epi_sector_norm
1974,services,16.76082443653618,1.295015229889586
1975,services,16.576327433628318,1.280760177607442
1976,services,16.393779342723004,1.2666557068634894
1977,services,16.213149445417397,1.2526994442184225
1978,services,16.034407665505224,1.2388890658518752
1979,services,15.857524552281918,1.2252222962725021
1980,services,15.682471264367814,1.2116969070680879
1981,services,15.4431330472103,1.1932045806621168
1982,services,15.205840455840455,1.1748703083279914
1983,services,14.970567375886525,1.1566920723541567
1984,services,14.73728813559322,1.138667889227558
1985,services,14.505977496483826,1.120795808912154
1986,services,14.276610644257703,1.103073914145619
1987,services,14.049163179916318,1.0855003197536992
1988,services,13.823611111111111,1.0680731719817123
1989,services,13.599930843706778,1.0507906478426878
1990,services,13.378099173553718,1.0336509544816717
1991,services,13.241490529783146,1.0230959680675302
1992,services,13.105853391684901,1.0126160444670558
1993,services,12.971177432542929,1.0022103857926137
1994,services,12.837452471482889,0.9918782054249438
1995,services,12.70466847090663,0.9816187278149354
1996,services,12.572815533980583,0.9714311882895712
1997,services,12.441883902176833,0.9613148328619385
1998,services,12.31186395286556,0.9512689180452107
1999,services,12.182746196957567,0.9412927106704992
2000,services,12.054521276595745,0.9313854877084852
2001,services,11.951830571886692,0.9234511508821637
2002,services,11.848147153598282,0.9154401126257274
2003,services,11.743456556934701,0.9073512553252459
2004,services,11.63774403470716,0.8991834395478616
2005,services,11.53099455040872,0.8909355035067209
2006,services,11.423192771084336,0.8826062625100815
2007,services,11.314323059988993,0.874194508394048
2008,services,11.204369469026549,0.8656990089383636
2009,services,11.093315730961645,0.8571185072646679
2010,services,10.981145251396647,0.8484517212165997
2011,services,10.912921348314606,0.8431804415210041
2012,services,10.843926553672317,0.8378495993429727
2013,services,10.774147727272727,0.8324581794129178
2014,services,10.70357142857143,0.8270051432550911
2015,services,10.632183908045977,0.8214894285207376
2016,services,10.559971098265896,0.8159099482981256
2017,services,10.486918604651162,0.8102655903985065
2018,services,10.413011695906432,0.8045552166170206
2019,services,10.338235294117647,0.7987776619675171
2020,services,10.262573964497042,0.792931733890209
2021,services,10.123652562880398,0.7821980536030393
2022,services,9.985581657923607,0.7715300864394482
2023,services,9.848363185327832,0.7609279819602464
1971,ict,18.028744725738395,1.3387083829062851
1972,ict,17.83048561151079,1.3239868289522176
1973,ict,17.63435450208706,1.3094232880996246
1974,ict,17.440317319098458,1.2950152298895863
1975,ict,17.2483407079646,1.280760177607442
1976,ict,17.058392018779344,1.2666557068634894
1977,ict,16.870439287799183,1.2526994442184225
1978,ict,16.684451219512194,1.2388890658518754
1979,ict,16.50039716926632,1.2252222962725023
1980,ict,16.31824712643678,1.2116969070680879
1981,ict,16.06920600858369,1.1932045806621168
1982,ict,15.822293447293447,1.1748703083279917
1983,ict,15.577482269503546,1.156692072354157
1984,ict,15.334745762711863,1.138667889227558
1985,ict,15.094057665260198,1.1207958089121541
1986,ict,14.855392156862745,1.103073914145619
1987,ict,14.618723849372385,1.0855003197536994
1988,ict,14.384027777777776,1.0680731719817123
1989,ict,14.15127939142462,1.0507906478426878
1990,ict,13.920454545454545,1.0336509544816719
1991,ict,13.778307713423004,1.0230959680675302
1992,ict,13.637171772428884,1.0126160444670558
1993,ict,13.49703597710548,1.0022103857926137
1994,ict,13.357889733840304,0.9918782054249438
1995,ict,13.219722598105548,0.9816187278149355
1996,ict,13.08252427184466,0.9714311882895712
1997,ict,12.946284600913732,0.9613148328619385
1998,ict,12.810993572576324,0.9512689180452107
1999,ict,12.67664131305044,0.9412927106704994
2000,ict,12.543218085106384,0.9313854877084853
2001,ict,12.436364243719936,0.9234511508821637
2002,ict,12.328477443609023,0.9154401126257274
2003,ict,12.219542633567189,0.9073512553252459
2004,ict,12.10954446854664,0.8991834395478617
2005,ict,11.998467302452315,0.8909355035067209
2006,ict,11.886295180722891,0.8826062625100816
2007,ict,11.77301183269125,0.874194508394048
2008,ict,11.658600663716813,0.8656990089383635
2009,ict,11.543044747081712,0.8571185072646679
2010,ict,11.426326815642458,0.8484517212165997
2011,ict,11.355337078651685,0.8431804415210042
2012,ict,11.283545197740112,0.8378495993429725
2013,ict,11.2109375,0.8324581794129179
2014,ict,11.1375,0.8270051432550911
2015,ict,11.063218390804597,0.8214894285207375
2016,ict,10.988078034682081,0.8159099482981257
2017,ict,10.91206395348837,0.8102655903985064
2018,ict,10.83516081871345,0.8045552166170206
2019,ict,10.757352941176471,0.7987776619675172
2020,ict,10.67862426035503,0.792931733890209
2021,ict,10.534070910024198,0.7821980536030393
2022,ict,10.390402535947537,0.7715300864394482
2023,ict,10.247621152300582,0.7609279819602464
1971,healthcare,17.466809825195902,1.3387083829062851
1972,healthcare,17.274730215827336,1.3239868289522174
1973,healthcare,17.08471228384019,1.3094232880996246
1974,healthcare,16.896723013048636,1.2950152298895863
1975,healthcare,16.710730088495577,1.280760177607442
1976,healthcare,16.526701877934272,1.2666557068634894
1977,healthcare,16.344607413893755,1.2526994442184225
1978,healthcare,16.16441637630662,1.2388890658518752
1979,healthcare,15.9860990756788,1.2252222962725021
1980,healthcare,15.809626436781608,1.2116969070680879
1981,healthcare,15.568347639484978,1.1932045806621168
1982,healthcare,15.329131054131054,1.1748703083279917
1983,healthcare,15.09195035460993,1.156692072354157
1984,healthcare,14.856779661016947,1.1386678892275577
1985,healthcare,14.6235935302391,1.120795808912154
1986,healthcare,14.392366946778711,1.103073914145619
1987,healthcare,14.16307531380753,1.0855003197536992
1988,healthcare,13.935694444444444,1.0680731719817123
1989,healthcare,13.710200553250345,1.0507906478426878
1990,healthcare,13.486570247933884,1.0336509544816719
1991,healthcare,13.348853966511118,1.0230959680675302
1992,healthcare,13.212117067833697,1.0126160444670558
1993,healthcare,13.076349141455438,1.0022103857926137
1994,healthcare,12.941539923954371,0.9918782054249436
1995,healthcare,12.807679296346414,0.9816187278149354
1996,healthcare,12.674757281553397,0.9714311882895711
1997,healthcare,12.542764041924213,0.9613148328619385
1998,healthcare,12.411689876807712,0.9512689180452107
1999,healthcare,12.28152522017614,0.9412927106704992
2000,healthcare,12.152260638297873,0.9313854877084853
2001,healthcare,12.048737306253342,0.9234511508821638
2002,healthcare,11.944213211600431,0.9154401126257274
2003,healthcare,11.838673772261199,0.907351255325246
2004,healthcare,11.732104121475055,0.8991834395478616
2005,healthcare,11.624489100817438,0.8909355035067209
2006,healthcare,11.515813253012048,0.8826062625100816
2007,healthcare,11.406060814529445,0.874194508394048
2008,healthcare,11.295215707964601,0.8656990089383635
2009,healthcare,11.18326153418566,0.8571185072646679
2010,healthcare,11.07018156424581,0.8484517212165998
2011,healthcare,11.001404494382022,0.8431804415210042
2012,healthcare,10.931850282485875,0.8378495993429725
2013,healthcare,10.861505681818182,0.8324581794129179
2014,healthcare,10.790357142857143,0.8270051432550911
2015,healthcare,10.718390804597702,0.8214894285207376
2016,healthcare,10.645592485549132,0.8159099482981256
2017,healthcare,10.571947674418604,0.8102655903985065
2018,healthcare,10.497441520467836,0.8045552166170206
2019,healthcare,10.422058823529412,0.7987776619675172
2020,healthcare,10.345784023668639,0.7929317338902089
2021,healthcare,10.205736232309158,0.7821980536030393
2022,healthcare,10.066545833528394,0.7715300864394483
2023,healthcare,9.928214778722383,0.7609279819602465
