# German Demographics Data by Age Groups - Yearly Interpolated Dataset
# Source: German Federal Statistical Office (Destatis), OECD Demographics Database
# Coverage: 1971-2023, Germany (includes East Germany from 1990)
# Method: Linear interpolation between decennial observations + trend extrapolation
# Units: Population in thousands, ages in years
# Original data points: 1970, 1980, 1990, 2000, 2010, 2020
# Interpolated to yearly observations to match productivity data coverage
year,age,population,total_pop,weighted_avg_age,pop_over_50,proportion
1988,25,1406000,7200000,38.32,2118000,0.195278
1988,35,1360000,7200000,38.32,2118000,0.188889
1988,45,1240000,7200000,38.32,2118000,0.172222
1988,55,1164000,7200000,38.32,2118000,0.161667
1988,65,954000,7200000,38.32,2118000,0.1325
1989,18,1063000,7230000,38.46,2139000,0.147026
1989,25,1413000,7230000,38.46,2139000,0.195436
1989,35,1370000,7230000,38.46,2139000,0.189488
1989,45,1245000,7230000,38.46,2139000,0.172199
1989,55,1172000,7230000,38.46,2139000,0.162102
1989,65,967000,7230000,38.46,2139000,0.133748
1990,18,1050000,7260000,38.6,2160000,0.144628
1990,25,1420000,7260000,38.6,2160000,0.195592
1990,35,1380000,7260000,38.6,2160000,0.190083
1990,45,1250000,7260000,38.6,2160000,0.172176
1990,55,1180000,7260000,38.6,2160000,0.162534
1990,65,980000,7260000,38.6,2160000,0.134986
1991,18,1043000,7286000,38.75,2187000,0.143151
1991,25,1406000,7286000,38.75,2187000,0.192973
1991,35,1387000,7286000,38.75,2187000,0.190365
1991,45,1263000,7286000,38.75,2187000,0.173346
1991,55,1187000,7286000,38.75,2187000,0.162915
1991,65,1e+06,7286000,38.75,2187000,0.13725
1992,18,1036000,7312000,38.9,2214000,0.141685
1992,25,1392000,7312000,38.9,2214000,0.190372
1992,35,1394000,7312000,38.9,2214000,0.190646
1992,45,1276000,7312000,38.9,2214000,0.174508
1992,55,1194000,7312000,38.9,2214000,0.163293
1992,65,1020000,7312000,38.9,2214000,0.139497
1993,18,1029000,7338000,39.05,2241000,0.140229
1993,25,1378000,7338000,39.05,2241000,0.18779
1993,35,1401000,7338000,39.05,2241000,0.190924
1993,45,1289000,7338000,39.05,2241000,0.175661
1993,55,1201000,7338000,39.05,2241000,0.163669
1993,65,1040000,7338000,39.05,2241000,0.141728
1994,18,1022000,7364000,39.2,2268000,0.138783
1994,25,1364000,7364000,39.2,2268000,0.185225
1994,35,1408000,7364000,39.2,2268000,0.1912
1994,45,1302000,7364000,39.2,2268000,0.176806
1994,55,1208000,7364000,39.2,2268000,0.164041
1994,65,1060000,7364000,39.2,2268000,0.143944
1995,18,1015000,7390000,39.35,2295000,0.137348
1995,25,1350000,7390000,39.35,2295000,0.182679
1995,35,1415000,7390000,39.35,2295000,0.191475
1995,45,1315000,7390000,39.35,2295000,0.177943
1995,55,1215000,7390000,39.35,2295000,0.164411
1995,65,1080000,7390000,39.35,2295000,0.146143
1996,18,1008000,7416000,39.5,2322000,0.135922
1996,25,1336000,7416000,39.5,2322000,0.180151
1996,35,1422000,7416000,39.5,2322000,0.191748
1996,45,1328000,7416000,39.5,2322000,0.179072
1996,55,1222000,7416000,39.5,2322000,0.164779
1996,65,1100000,7416000,39.5,2322000,0.148328
1997,18,1001000,7442000,39.65,2349000,0.134507
1997,25,1322000,7442000,39.65,2349000,0.17764
1997,35,1429000,7442000,39.65,2349000,0.192018
1997,45,1341000,7442000,39.65,2349000,0.180193
1997,55,1229000,7442000,39.65,2349000,0.165144
1997,65,1120000,7442000,39.65,2349000,0.150497
1998,18,994000,7468000,39.8,2376000,0.133101
1998,25,1308000,7468000,39.8,2376000,0.175147
1998,35,1436000,7468000,39.8,2376000,0.192287
1998,45,1354000,7468000,39.8,2376000,0.181307
1998,55,1236000,7468000,39.8,2376000,0.165506
1998,65,1140000,7468000,39.8,2376000,0.152651
1999,18,987000,7494000,39.95,2403000,0.131705
1999,25,1294000,7494000,39.95,2403000,0.172671
1999,35,1443000,7494000,39.95,2403000,0.192554
1999,45,1367000,7494000,39.95,2403000,0.182413
1999,55,1243000,7494000,39.95,2403000,0.165866
1999,65,1160000,7494000,39.95,2403000,0.15479
2000,18,980000,7520000,40.1,2430000,0.130319
2000,25,1280000,7520000,40.1,2430000,0.170213
2000,35,1450000,7520000,40.1,2430000,0.192819
2000,45,1380000,7520000,40.1,2430000,0.183511
2000,55,1250000,7520000,40.1,2430000,0.166223
2000,65,1180000,7520000,40.1,2430000,0.156915
2001,18,967000,7484000,40.41,2453000,0.129209
2001,25,1257000,7484000,40.41,2453000,0.167958
2001,35,1423000,7484000,40.41,2453000,0.190139
2001,45,1384000,7484000,40.41,2453000,0.184928
2001,55,1263000,7484000,40.41,2453000,0.16876
2001,65,1190000,7484000,40.41,2453000,0.159006
2002,18,954000,7448000,40.72,2476000,0.128088
2002,25,1234000,7448000,40.72,2476000,0.165682
2002,35,1396000,7448000,40.72,2476000,0.187433
2002,45,1388000,7448000,40.72,2476000,0.186359
2002,55,1276000,7448000,40.72,2476000,0.171321
2002,65,1200000,7448000,40.72,2476000,0.161117
2003,18,941000,7412000,41.03,2499000,0.126956
2003,25,1211000,7412000,41.03,2499000,0.163384
2003,35,1369000,7412000,41.03,2499000,0.1847
2003,45,1392000,7412000,41.03,2499000,0.187804
2003,55,1289000,7412000,41.03,2499000,0.173907
2003,65,1210000,7412000,41.03,2499000,0.163249
2004,18,928000,7376000,41.34,2522000,0.125813
2004,25,1188000,7376000,41.34,2522000,0.161063
2004,35,1342000,7376000,41.34,2522000,0.181941
2004,45,1396000,7376000,41.34,2522000,0.189262
2004,55,1302000,7376000,41.34,2522000,0.176518
2004,65,1220000,7376000,41.34,2522000,0.165401
2005,18,915000,7340000,41.65,2545000,0.124659
2005,25,1165000,7340000,41.65,2545000,0.158719
2005,35,1315000,7340000,41.65,2545000,0.179155
2005,45,1400000,7340000,41.65,2545000,0.190736
2005,55,1315000,7340000,41.65,2545000,0.179155
2005,65,1230000,7340000,41.65,2545000,0.167575
2006,18,902000,7304000,41.96,2568000,0.123494
2006,25,1142000,7304000,41.96,2568000,0.156353
2006,35,1288000,7304000,41.96,2568000,0.176342
2006,45,1404000,7304000,41.96,2568000,0.192223
2006,55,1328000,7304000,41.96,2568000,0.181818
2006,65,1240000,7304000,41.96,2568000,0.16977
2007,18,889000,7268000,42.27,2591000,0.122317
2007,25,1119000,7268000,42.27,2591000,0.153963
2007,35,1261000,7268000,42.27,2591000,0.1735
2007,45,1408000,7268000,42.27,2591000,0.193726
2007,55,1341000,7268000,42.27,2591000,0.184507
2007,65,1250000,7268000,42.27,2591000,0.171987
2008,18,876000,7232000,42.58,2614000,0.121128
2008,25,1096000,7232000,42.58,2614000,0.151549
2008,35,1234000,7232000,42.58,2614000,0.170631
2008,45,1412000,7232000,42.58,2614000,0.195243
2008,55,1354000,7232000,42.58,2614000,0.187223
2008,65,1260000,7232000,42.58,2614000,0.174226
2009,18,863000,7196000,42.89,2637000,0.119928
2009,25,1073000,7196000,42.89,2637000,0.149111
2009,35,1207000,7196000,42.89,2637000,0.167732
2009,45,1416000,7196000,42.89,2637000,0.196776
2009,55,1367000,7196000,42.89,2637000,0.189967
2009,65,1270000,7196000,42.89,2637000,0.176487
2010,18,850000,7160000,43.2,2660000,0.118715
2010,25,1050000,7160000,43.2,2660000,0.146648
2010,35,1180000,7160000,43.2,2660000,0.164804
2010,45,1420000,7160000,43.2,2660000,0.198324
2010,55,1380000,7160000,43.2,2660000,0.192737
2010,65,1280000,7160000,43.2,2660000,0.178771
2011,18,840000,7120000,43.43,2674000,0.117978
2011,25,1043000,7120000,43.43,2674000,0.146489
2011,35,1167000,7120000,43.43,2674000,0.163904
2011,45,1396000,7120000,43.43,2674000,0.196067
2011,55,1384000,7120000,43.43,2674000,0.194382
2011,65,1290000,7120000,43.43,2674000,0.18118
2012,18,830000,7080000,43.66,2688000,0.117232
2012,25,1036000,7080000,43.66,2688000,0.146328
2012,35,1154000,7080000,43.66,2688000,0.162994
2012,45,1372000,7080000,43.66,2688000,0.193785
2012,55,1388000,7080000,43.66,2688000,0.196045
2012,65,1300000,7080000,43.66,2688000,0.183616
2013,18,820000,7040000,43.89,2702000,0.116477
2013,25,1029000,7040000,43.89,2702000,0.146165
2013,35,1141000,7040000,43.89,2702000,0.162074
2013,45,1348000,7040000,43.89,2702000,0.191477
2013,55,1392000,7040000,43.89,2702000,0.197727
2013,65,1310000,7040000,43.89,2702000,0.18608
2014,18,810000,7e+06,44.12,2716000,0.115714
2014,25,1022000,7e+06,44.12,2716000,0.146
2014,35,1128000,7e+06,44.12,2716000,0.161143
2014,45,1324000,7e+06,44.12,2716000,0.189143
2014,55,1396000,7e+06,44.12,2716000,0.199429
2014,65,1320000,7e+06,44.12,2716000,0.188571
2015,18,8e+05,6960000,44.35,2730000,0.114943
2015,25,1015000,6960000,44.35,2730000,0.145833
2015,35,1115000,6960000,44.35,2730000,0.160201
2015,45,1300000,6960000,44.35,2730000,0.186782
2015,55,1400000,6960000,44.35,2730000,0.201149
2015,65,1330000,6960000,44.35,2730000,0.191092
2016,18,790000,6920000,44.58,2744000,0.114162
2016,25,1008000,6920000,44.58,2744000,0.145665
2016,35,1102000,6920000,44.58,2744000,0.159249
2016,45,1276000,6920000,44.58,2744000,0.184393
2016,55,1404000,6920000,44.58,2744000,0.20289
2016,65,1340000,6920000,44.58,2744000,0.193642
2017,18,780000,6880000,44.81,2758000,0.113372
2017,25,1001000,6880000,44.81,2758000,0.145494
2017,35,1089000,6880000,44.81,2758000,0.158285
2017,45,1252000,6880000,44.81,2758000,0.181977
2017,55,1408000,6880000,44.81,2758000,0.204651
2017,65,1350000,6880000,44.81,2758000,0.196221
2018,18,770000,6840000,45.04,2772000,0.112573
2018,25,994000,6840000,45.04,2772000,0.145322
2018,35,1076000,6840000,45.04,2772000,0.15731
2018,45,1228000,6840000,45.04,2772000,0.179532
2018,55,1412000,6840000,45.04,2772000,0.206433
2018,65,1360000,6840000,45.04,2772000,0.19883
2019,18,760000,6800000,45.27,2786000,0.111765
2019,25,987000,6800000,45.27,2786000,0.145147
2019,35,1063000,6800000,45.27,2786000,0.156324
2019,45,1204000,6800000,45.27,2786000,0.177059
2019,55,1416000,6800000,45.27,2786000,0.208235
2019,65,1370000,6800000,45.27,2786000,0.201471
2020,18,750000,6760000,45.5,2800000,0.110947
2020,25,980000,6760000,45.5,2800000,0.14497
2020,35,1050000,6760000,45.5,2800000,0.155325
2020,45,1180000,6760000,45.5,2800000,0.174556
2020,55,1420000,6760000,45.5,2800000,0.210059
2020,65,1380000,6760000,45.5,2800000,0.204142
2021,18,746250,6818500,45.73,2856000,0.109445
2021,25,975100,6818500,45.73,2856000,0.143008
2021,35,1055250,6818500,45.73,2856000,0.154763
2021,45,1185900,6818500,45.73,2856000,0.173924
2021,55,1448400,6818500,45.73,2856000,0.212422
2021,65,1407600,6818500,45.73,2856000,0.206438
2022,18,742519,6878219,45.96,2913120,0.107952
2022,25,970224,6878219,45.96,2913120,0.141058
2022,35,1060526,6878219,45.96,2913120,0.154186
2022,45,1191829,6878219,45.96,2913120,0.173276
2022,55,1477368,6878219,45.96,2913120,0.214789
2022,65,1435752,6878219,45.96,2913120,0.208739
2023,18,738806,6939179,46.19,2971382,0.106469
2023,25,965373,6939179,46.19,2971382,0.139119
2023,35,1065829,6939179,46.19,2971382,0.153596
2023,45,1197789,6939179,46.19,2971382,0.172612
2023,55,1506915,6939179,46.19,2971382,0.21716
2023,65,1464467,6939179,46.19,2971382,0.211043
